geo,time,education,emp_high_tech,gdp,inv,migration,pop,pop_dens,tourists,unemp,wages
AT11,2014,25.7,2.3,24100.0,1894.0,6.8,189.3,78.5,158096.0,4.8,3707.0
AT11,2015,28.5,2.6,25000.0,1897.0,12.8,189.2,79.0,159078.0,5.2,3793.0
AT11,2016,27.9,3.0,25600.0,1894.0,6.3,189.5,79.4,167212.0,5.7,3917.0
AT11,2017,28.0,3.2,26400.0,2192.0,6.5,188.7,79.7,172673.0,5.2,4084.0
AT11,2018,28.4,3.8,27100.0,2225.0,6.3,188.1,77.5,178502.0,4.2,4299.0
AT11,2019,30.7,2.8,27700.0,2364.0,7.4,187.7,77.8,200650.0,3.6,4439.0
AT12,2014,29.1,4.2,28600.0,12350.0,8.1,1064.1,86.2,863170.0,5.1,24402.0
AT12,2015,30.3,4.3,29500.0,12888.0,11.9,1070.2,87.0,930235.0,5.2,25083.0
AT12,2016,30.2,4.7,29900.0,12744.0,8.2,1079.9,87.7,961745.0,5.2,26045.0
AT12,2017,32.0,4.9,30900.0,13559.0,4.1,1080.0,88.2,1090138.0,4.8,26989.0
AT12,2018,31.9,3.9,32000.0,14432.0,5.7,1080.6,88.5,1154531.0,3.8,28420.0
AT12,2019,32.4,3.2,33000.0,16235.0,5.7,1083.2,88.9,1265136.0,4.0,29563.0
AT13,2014,39.1,7.5,42700.0,18827.0,15.3,1204.2,4511.5,4824056.0,10.2,42222.0
AT13,2015,39.3,6.3,43300.0,19302.0,21.7,1223.6,4604.5,5117409.0,10.6,43298.0
AT13,2016,39.9,6.5,44400.0,20390.0,12.2,1255.8,4693.4,5294261.0,11.3,45217.0
AT13,2017,42.1,6.8,43800.0,21176.0,9.1,1269.6,4754.9,5446855.0,10.4,46618.0
AT13,2018,42.3,7.0,45500.0,23435.0,2.9,1280.3,4780.6,5724543.0,10.0,48600.0
AT13,2019,42.9,6.6,46100.0,24483.0,5.2,1285.2,4808.9,6065238.0,9.3,50677.0
AT21,2014,28.8,3.2,29700.0,4137.0,5.0,363.8,59.5,1380969.0,6.0,8945.0
AT21,2015,28.3,3.2,30200.0,4363.0,7.6,364.1,59.7,1410811.0,6.1,9140.0
AT21,2016,29.4,3.9,30400.0,4322.0,3.0,364.6,59.9,1464544.0,5.4,9357.0
AT21,2017,29.7,4.2,31500.0,4685.0,1.8,361.7,59.9,1559641.0,4.8,9616.0
AT21,2018,30.6,4.3,33000.0,5040.0,2.7,359.0,59.9,1586581.0,4.1,10103.0
AT21,2019,30.8,4.7,33600.0,5303.0,3.4,358.3,59.9,1624026.0,3.8,10501.0
AT22,2014,25.7,3.2,31500.0,9666.0,6.4,807.5,75.0,1061480.0,4.9,20760.0
AT22,2015,26.7,3.8,32100.0,10014.0,9.9,811.2,75.5,1136586.0,4.7,21446.0
AT22,2016,27.4,4.1,33000.0,10981.0,5.2,815.6,76.0,1221590.0,5.1,22234.0
AT22,2017,27.8,3.9,34000.0,11683.0,3.5,813.9,76.2,1308245.0,4.5,23172.0
AT22,2018,28.7,3.8,34800.0,11976.0,3.5,813.0,76.4,1327014.0,4.0,24570.0
AT22,2019,30.1,3.5,36000.0,12897.0,4.1,812.1,76.6,1376718.0,3.2,25636.0
AT31,2014,26.7,2.8,35800.0,12331.0,7.0,951.6,122.2,969345.0,4.0,27438.0
AT31,2015,27.5,2.8,36500.0,12744.0,10.9,958.3,123.4,1052880.0,4.1,28413.0
AT31,2016,29.1,3.3,37200.0,13861.0,5.9,967.6,124.6,1105499.0,4.4,29464.0
AT31,2017,29.2,3.1,38000.0,14651.0,4.6,966.5,125.4,1203385.0,4.0,30448.0
AT31,2018,29.0,3.0,39600.0,15422.0,4.7,967.3,126.1,1292227.0,3.2,32129.0
AT31,2019,31.8,3.2,40300.0,16600.0,4.6,970.6,126.8,1369083.0,2.9,33523.0
AT32,2014,29.8,2.5,41000.0,5493.0,5.9,357.5,76.1,4016386.0,3.5,10991.0
AT32,2015,30.2,2.9,42600.0,5761.0,11.6,359.3,76.9,4241387.0,3.5,11330.0
AT32,2016,31.5,3.2,43800.0,6374.0,4.2,363.6,77.7,4505529.0,3.4,11778.0
AT32,2017,31.2,2.9,44500.0,6530.0,3.9,363.4,78.1,4788688.0,3.1,12185.0
AT32,2018,32.3,2.7,45800.0,7197.0,3.0,363.3,78.5,5010090.0,2.8,12752.0
AT32,2019,32.8,2.8,47100.0,7545.0,3.8,363.5,78.9,5177946.0,2.4,13277.0
AT33,2014,27.0,3.6,36900.0,7268.0,7.4,487.1,58.0,7446144.0,3.2,13239.0
AT33,2015,26.4,3.8,38300.0,7640.0,11.9,491.9,58.7,7910494.0,3.0,13795.0
AT33,2016,28.2,3.9,39000.0,8134.0,7.1,497.7,59.3,8301517.0,3.5,14399.0
AT33,2017,29.0,3.5,39500.0,8616.0,4.2,498.4,59.8,8632858.0,3.3,14969.0
AT33,2018,29.9,3.3,41000.0,8919.0,2.7,499.4,60.2,8990445.0,2.4,15851.0
AT33,2019,29.9,3.6,42000.0,9149.0,2.2,499.4,60.4,9108885.0,2.1,16489.0
